latitude;longitude;ground speed
 48.656216; 12.494373;0
 48.656216; 12.494373;0
 48.656216; 12.494373;0
 48.656216; 12.494373;0
 48.656216; 12.494373;0
 48.656216; 12.494373;0
 48.656216; 12.494373;0
 48.656216; 12.494373;0
 48.656216; 12.494373;0,8
 48.656216; 12.494373;7,7
 48.656216; 12.494545;14,8
 48.656216; 12.494717;21,8
 48.656387; 12.495060;29
 48.656387; 12.495575;32,3
 48.656387; 12.496090;39
 48.656559; 12.496777;45,2
 48.656559; 12.497463;51,2
 48.656731; 12.498150;56,6
 48.656731; 12.499008;61,7
 48.656902; 12.500038;66,6
 48.657070; 12.500896;70,6
 48.657246; 12.502441;72,7
 48.657417; 12.503471;73,1
 48.657417; 12.504501;73,8
 48.657589; 12.505531;73,7
 48.657761; 12.506561;73,2
 48.657761; 12.507420;72,3
 48.657932; 12.508450;73,1
 48.658104; 12.509480;74,3
 48.658276; 12.510509;75,8
 48.658447; 12.511539;79,2
 48.658619; 12.512741;81,5
 48.658791; 12.513771;81,8
 48.658962; 12.514973;81,5
 48.659130; 12.516003;80,5
