latitude;longitude;ground speed;true air speed
48.656216;12.49403;2.7;5.6
48.656216;12.49403;3.1;5.6
48.656216;12.49403;3.6;14.1
48.656216;12.49403;8.7;14.3
48.656216;12.494373;11.7;10.6
48.656216;12.494545;17.3;13.5
48.656216;12.494888;22.7;15
48.656216;12.495232;27.8;31.6
48.656387;12.495747;32.7;35.2
48.656387;12.496262;37.5;39
48.656559;12.496948;42.1;43.1
48.656559;12.497635;46.6;47.7
48.656731;12.498665;52.2;52.8
48.656902;12.499352;55.6;55.5
48.656902;12.50021;58.8;57.9
48.65707;12.501068;60.7;59.1
48.65707;12.501926;58.8;55.2
48.657246;12.502613;52;47.2
48.657246;12.503128;43.5;40.3
48.657417;12.503643;35.5;32
48.657417;12.503986;26.2;11.3
48.657417;12.503986;8;4.5
48.657417;12.503986;2;4.6
48.657417;12.503986;2;4.6
48.657417;12.503986;2;4.6
48.657417;12.503986;2;4.5
